transaction_id,user_id,amount,category,merchant,timestamp,is_fraud
1,43,384.75,Entertainment,Green-Lang,2026-03-31 08:10:06,True
2,22,987.75,Shopping,Moses-Hill,2026-04-18 23:55:56,False
3,36,446.86,Food,Jackson Inc,2026-03-13 19:01:01,True
4,68,90.23,Bills,Martinez Group,2026-03-27 20:44:26,True
5,60,423.59,Shopping,"Underwood, Kemp and Miller",2026-01-04 17:46:57,False
6,40,550.98,Bills,"Brown, Powers and Nguyen",2026-05-06 22:20:02,True
7,57,236.28,Food,Moon-Holmes,2026-04-09 12:55:21,False
8,66,30.39,Shopping,"Mcdowell, Wallace and Gonzalez",2026-04-06 23:13:42,False
9,28,62.63,Food,Travis-Martinez,2026-01-02 16:57:38,True
10,48,464.27,Shopping,"Meadows, Hancock and Alvarez",2026-03-06 08:26:16,False
11,61,496.82,Food,Griffith-Kim,2026-02-25 20:03:49,True
12,70,546.87,Shopping,Green Group,2026-03-08 00:19:29,False
13,86,961.28,Bills,"Reed, Branch and Winters",2026-05-30 21:07:03,True
14,68,342.89,Food,"Marsh, Maddox and Lynch",2026-02-12 22:23:12,False
15,97,429.02,Entertainment,Stout-Foster,2026-03-30 05:35:28,True
16,39,329.71,Shopping,Clark-Cannon,2026-02-09 22:52:06,True
17,58,713.3,Food,Potter Ltd,2026-01-27 06:12:20,True
18,55,14.59,Food,Cameron Ltd,2026-02-05 23:52:08,False
19,24,557.43,Bills,"Parker, Rhodes and Johnson",2026-05-31 20:24:46,False
20,30,558.62,Food,Johnson-Williams,2026-05-18 10:35:25,True
21,61,747.18,Food,Anthony and Sons,2026-03-18 13:29:44,True
22,3,941.47,Bills,Abbott-Maynard,2026-05-05 02:24:00,True
23,75,617.12,Bills,"Lambert, Leach and Garcia",2026-03-27 16:50:09,True
24,25,929.14,Entertainment,Santiago-White,2026-05-01 15:59:01,False
25,53,693.64,Entertainment,"Brown, Adams and Russell",2026-01-01 19:05:00,False
26,59,997.38,Food,Dudley Ltd,2026-01-07 11:47:10,False
27,14,392.92,Bills,Wilson and Sons,2026-02-23 03:11:53,False
28,35,715.29,Bills,"Trujillo, Wilson and Pineda",2026-06-05 19:30:39,False
29,70,165.07,Entertainment,Cunningham Inc,2026-03-05 19:29:46,False
30,33,307.64,Entertainment,Scott LLC,2026-01-04 01:27:35,True
31,62,117.25,Food,Hopkins Inc,2026-03-29 07:26:40,True
32,48,359.87,Bills,Bennett-Atkins,2026-01-05 14:42:10,False
33,19,394.34,Shopping,Martinez PLC,2026-06-17 14:19:29,False
34,22,79.54,Entertainment,"Sanders, Crane and Jackson",2026-01-28 16:19:35,False
35,63,191.34,Entertainment,Strong Inc,2026-03-09 23:32:09,True
36,8,862.95,Entertainment,Thompson-Salazar,2026-01-02 18:23:29,True
37,59,470.69,Bills,Mack-Stewart,2026-05-13 15:56:26,False
38,57,632.73,Entertainment,"Ward, Skinner and Hays",2026-01-08 12:03:48,True
39,6,623.52,Shopping,"Evans, Smith and Guerra",2026-04-26 10:37:59,True
40,93,4.94,Shopping,"Pollard, Rodriguez and Moore",2026-04-14 08:09:34,False
41,68,497.57,Bills,"Ball, Conrad and Gillespie",2026-01-28 04:08:14,False
42,86,829.31,Entertainment,"Evans, Kim and Medina",2026-02-03 19:17:18,True
43,59,877.57,Food,Ramos Inc,2026-05-28 23:19:09,True
44,11,234.01,Bills,Copeland-Cunningham,2026-03-28 13:27:43,True
45,49,302.63,Bills,Davis-Jenkins,2026-04-18 18:07:54,True
46,15,155.02,Food,"Peterson, Frazier and Beck",2026-03-26 06:28:49,False
47,59,640.5,Bills,"Lawrence, Price and Flores",2026-02-18 15:05:08,False
48,61,955.21,Entertainment,Nelson-Hughes,2026-01-02 08:29:32,False
49,80,252.39,Food,Riley-Nichols,2026-06-16 08:21:55,False
50,72,337.16,Food,Murphy LLC,2026-01-02 09:29:24,False
51,45,308.48,Food,Rangel-Charles,2026-04-26 06:55:23,False
52,61,949.98,Shopping,Walker Inc,2026-02-22 00:18:04,True
53,28,485.83,Shopping,"Smith, Taylor and Pham",2026-03-28 13:52:01,False
54,30,238.27,Food,"Rodriguez, Hicks and Soto",2026-04-04 07:24:29,True
55,17,753.07,Food,Chang-Sanchez,2026-05-20 19:38:15,False
56,22,833.03,Food,Arnold PLC,2026-03-25 21:45:30,True
57,51,468.71,Bills,"Jones, Howard and Calhoun",2026-01-23 12:05:49,True
58,37,909.12,Bills,Smith LLC,2026-06-09 18:58:45,False
59,71,850.01,Shopping,Sanchez Ltd,2026-02-10 18:19:16,False
60,11,673.55,Food,"Macias, Trevino and Holmes",2026-01-21 01:22:13,True
61,38,154.84,Shopping,English-Rodriguez,2026-05-08 11:03:38,False
62,64,770.97,Bills,Henry Group,2026-01-17 15:48:10,False
63,88,467.74,Shopping,"Morgan, Thompson and Robinson",2026-03-09 21:17:58,False
64,17,603.44,Bills,"Evans, Martinez and Cox",2026-02-21 06:14:25,True
65,92,256.29,Food,Sandoval-Lutz,2026-06-15 07:36:15,False
66,78,93.68,Food,"King, Cruz and Graham",2026-02-28 00:36:53,False
67,24,725.18,Food,Reyes Group,2026-01-08 01:08:06,False
68,21,520.79,Entertainment,Castillo Group,2026-01-07 22:19:15,False
69,2,47.3,Shopping,"Fuentes, Hernandez and James",2026-03-23 10:07:53,True
70,28,884.01,Food,Fischer Inc,2026-01-24 00:39:38,False
71,61,754.06,Shopping,Thornton-Bradford,2026-02-28 13:34:55,False
72,53,444.33,Shopping,Black-Robinson,2026-01-09 01:53:25,False
73,73,16.61,Bills,Sanchez LLC,2026-01-28 15:43:12,True
74,35,413.38,Food,"Medina, Coleman and Rhodes",2026-01-21 08:50:58,True
75,52,30.74,Bills,"Henderson, Wright and Nelson",2026-04-24 06:17:34,False
76,69,606.69,Bills,"Morris, Baker and Hicks",2026-06-12 05:32:08,False
77,29,562.54,Shopping,Giles LLC,2026-04-23 13:48:53,True
78,89,782.68,Food,Collins-Sanders,2026-01-17 04:16:37,True
79,41,146.41,Entertainment,Perkins and Sons,2026-05-03 03:59:20,True
80,19,438.4,Bills,Allen-Jennings,2026-03-12 20:41:03,False
81,61,707.28,Bills,Simmons-Hill,2026-06-03 22:49:00,False
82,41,176.49,Shopping,Turner-Contreras,2026-04-29 19:59:03,True
83,7,755.4,Food,"Tran, Ibarra and Dominguez",2026-01-04 08:29:57,True
84,66,14.89,Bills,Cross Inc,2026-03-25 10:54:32,False
85,11,437.07,Shopping,Madden-Griffith,2026-01-03 14:28:43,True
86,61,626.81,Food,"Riggs, Davis and Gill",2026-04-20 11:36:06,True
87,90,525.72,Entertainment,Bryant Inc,2026-05-30 22:01:05,False
88,60,182.2,Shopping,"Boyd, Ellis and Pratt",2026-01-31 06:36:05,False
89,79,742.81,Bills,Taylor and Sons,2026-04-01 04:13:48,False
90,38,392.17,Food,Green Ltd,2026-05-26 05:41:21,True
91,28,672.96,Bills,Jones Group,2026-04-18 10:56:30,True
92,17,805.41,Food,Hall-Holmes,2026-04-22 04:27:47,False
93,45,793.25,Food,Hill-Johnson,2026-03-06 10:13:07,False
94,100,592.35,Food,"Thompson, Hutchinson and Brewer",2026-05-15 06:16:22,True
95,15,125.91,Food,"Smith, Martinez and Ryan",2026-06-15 13:01:42,False
96,66,252.04,Entertainment,"Webster, Larsen and Aguilar",2026-05-23 23:04:22,False
97,24,366.28,Shopping,White and Sons,2026-05-08 15:00:17,True
98,49,974.27,Bills,Norman LLC,2026-01-24 19:00:13,False
99,46,85.83,Shopping,"Smith, Owen and Sheppard",2026-04-28 09:23:23,True
100,43,280.24,Shopping,Harrell-Miller,2026-05-27 02:18:45,True
101,1,994.58,Food,"Hines, Giles and Navarro",2026-04-03 09:53:57,True
102,31,132.15,Food,Alexander LLC,2026-04-01 13:44:08,False
103,4,643.7,Food,"Howell, Nguyen and Jimenez",2026-03-02 12:35:50,True
104,43,198.6,Shopping,Wilson Inc,2026-05-19 17:48:43,True
105,26,466.35,Food,"Martinez, Brown and Taylor",2026-02-13 05:03:00,True
106,60,422.7,Entertainment,Salazar Ltd,2026-01-10 11:36:56,False
107,87,824.48,Shopping,Stewart-Torres,2026-02-07 12:31:07,True
108,16,795.85,Entertainment,Brown Group,2026-01-18 05:07:48,True
109,88,415.77,Shopping,Elliott-Jones,2026-05-05 00:25:12,True
110,61,132.61,Entertainment,Kerr Inc,2026-02-22 15:40:16,False
